epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/l1_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/l1_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
51,631.258,0.95298,1.47406,1.34088,0.00772,0.66109,0.58262,0.39308,0.41328,0.31319,0.59132,0.39754,0.41563,0.30004,1.1519,2.21777,2.37555,0.01486,0,0.00024038,0.00024038,0.00024038
52,643.005,0.94363,1.43698,1.32607,0.00754,0.64926,0.58419,0.40028,0.41316,0.30949,0.57056,0.40401,0.4102,0.28838,1.19477,2.27691,2.38538,0.01561,0,0.000235668,0.000235668,0.000235668
53,654.861,0.95132,1.44245,1.31435,0.00754,0.64057,0.57133,0.38647,0.41109,0.30887,0.56748,0.3892,0.41134,0.29353,1.16812,2.29592,2.33974,0.01526,0,0.000230955,0.000230955,0.000230955
54,667.125,0.96498,1.43876,1.31435,0.00777,0.64358,0.57214,0.41046,0.43685,0.32819,0.5713,0.40559,0.43047,0.3114,1.13992,2.19098,2.33303,0.01454,0,0.000226243,0.000226243,0.000226243
55,682.464,0.93258,1.41644,1.27678,0.00774,0.63369,0.61148,0.39082,0.41545,0.31065,0.6041,0.38531,0.41171,0.29263,1.18417,2.2768,2.37221,0.0155,0,0.00022153,0.00022153,0.00022153
56,706.666,0.93988,1.43331,1.27637,0.00744,0.61737,0.56704,0.40282,0.42537,0.32027,0.57213,0.40043,0.42374,0.30703,1.16542,2.25195,2.33395,0.0151,0,0.000216818,0.000216818,0.000216818
57,731.653,0.94243,1.44418,1.28884,0.00752,0.61134,0.58139,0.41036,0.42392,0.32608,0.57801,0.41309,0.41861,0.30549,1.13468,2.26501,2.36413,0.01427,0,0.000212106,0.000212106,0.000212106
58,755.352,0.9288,1.42472,1.24003,0.00723,0.59747,0.53969,0.43957,0.44685,0.34381,0.53675,0.42753,0.43609,0.31954,1.16493,2.32296,2.2941,0.01487,0,0.000207393,0.000207393,0.000207393
59,778.323,0.92227,1.44042,1.24968,0.00751,0.59899,0.59643,0.37566,0.40549,0.29974,0.57847,0.36732,0.39898,0.2839,1.16708,2.23238,2.34208,0.01491,0,0.000202681,0.000202681,0.000202681
60,802.209,0.93462,1.41306,1.22645,0.00729,0.5867,0.63691,0.38575,0.42721,0.32238,0.61254,0.38101,0.41668,0.29664,1.16767,2.16985,2.26017,0.01497,0,0.000197968,0.000197968,0.000197968
